Task_ID,Step_No,Task,Role,dispatch_date,O_Days,M_Days,P_Days,Use_PERT,Effort_Days,Notes,milestones
,1,Management Decision ,Global Regulatory Lead,700,1,1,1,Y,0.3,Decision by senior management to proceed with the NDA/BLA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
2,1,Management Decision ,Management,700,1,1,1,Y,0.3,Decision by senior management to proceed with the NDA/BLA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
3,1,Management Decision ,Other function,700,1,1,1,Y,0.3,Decision by senior management to proceed with the NDA/BLA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
4,1,Management Decision ,Regulatory CMC,700,1,1,1,Y,0.3,Decision by senior management to proceed with the NDA/BLA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
5,2,Initial Pediatric Study Plan (PSP),Regulatory Strategist (Global/EU),700,225,225,225,Y,70.0,Agreement of the Paediatric Investigation Plan (PIP) with the FDA a mandatory step to define the development strategy for paediatric use. Typically initiated early.,0
6,3,Initial Pediatric Study Plan (PSP) agreed,FDA,475,1,1,1,Y,1.0,Agreement of the Paediatric Investigation Plan (PIP) with the FDA a mandatory step to define the development strategy for paediatric use. Typically initiated early.,1
7,4,General Kick-off meeting,Global Regulatory Lead,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the NDA/BLA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
8,4,General Kick-off meeting,Labeling,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the NDA/BLA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
9,4,General Kick-off meeting,Other function,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the NDA/BLA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
10,4,General Kick-off meeting,Regulatory CMC,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the NDA/BLA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
11,4,General Kick-off meeting,Regulatory Operations,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the NDA/BLA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
12,4,General Kick-off meeting,Regulatory Strategist (Global/EU),600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the NDA/BLA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
13,5,Content Plan (documents list) prepared,Global Regulatory Lead,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and FDA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the NDA/BLA dispatch date.,0
