Task_ID,Step_No,Task,Role,dispatch_date,O_Days,M_Days,P_Days,Use_PERT,Effort_Days,Notes,milestones
1,1,Management Decision ,Global Regulatory Lead,700,1,1,1,Y,0.3,Decision by senior management to proceed with the MAA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
2,1,Management Decision ,Management,700,1,1,1,Y,0.3,Decision by senior management to proceed with the MAA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
3,1,Management Decision ,Other function,700,1,1,1,Y,0.3,Decision by senior management to proceed with the MAA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
4,1,Management Decision ,Regulatory CMC,700,1,1,1,Y,0.3,Decision by senior management to proceed with the MAA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
5,2,Paediatric Investigation Plan (PIP),Regulatory Strategist (Global/EU),700,225,225,225,Y,70.0,Agreement of the Paediatric Investigation Plan (PIP) with the EMA a mandatory step to define the development strategy for paediatric use. Typically initiated early.,0
6,3,Paediatric Investigation Plan (PIP) agreed,EMA,475,1,1,1,Y,1.0,Agreement of the Paediatric Investigation Plan (PIP) with the EMA a mandatory step to define the development strategy for paediatric use. Typically initiated early.,1
7,4,General Kick-off meeting,Global Regulatory Lead,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
8,4,General Kick-off meeting,Labeling,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
9,4,General Kick-off meeting,Other function,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
10,4,General Kick-off meeting,Regulatory CMC,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
11,4,General Kick-off meeting,Regulatory Operations,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
12,4,General Kick-off meeting,Regulatory Strategist (Global/EU),600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
13,5,Content Plan (documents list) prepared,Global Regulatory Lead,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
15,5,Content Plan (documents list) prepared,Other function,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
16,5,Content Plan (documents list) prepared,Regulatory CMC,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
17,5,Content Plan (documents list) prepared,Regulatory Operations,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
18,5,Content Plan (documents list) prepared,Regulatory Strategist (Global/EU),180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
19,6,Scientific advice / end of phase 2 meeting,Global Regulatory Lead,760,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
20,6,Scientific advice / end of phase 2 meeting,Labeling,760,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
21,6,Scientific advice / end of phase 2 meeting,Other function,760,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
22,6,Scientific advice / end of phase 2 meeting,Regulatory CMC,760,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
23,6,Scientific advice / end of phase 2 meeting,Regulatory Operations,760,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
24,6,Scientific advice / end of phase 2 meeting,Regulatory Strategist (Global/EU),760,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
47,12,Target Product Profile (TPP),Global Regulatory Lead,700,695,695,695,Y,12.0,Finalization of the Target Product Profile (TPP) a key strategic document that defines the intended indications clinical claims safety profile and regulatory positioning of the product. Developed cross-functionally and used as a decision-making reference. For EMA submissions it should be finalized between 12 and 6 months before submission with drafting initiated earlier and alignment reinforced around the end-of-Phase II meeting (~18 months before submission).,0
48,13,Centralised Procedure Eligibility Request,Global Regulatory Lead,130,60,75,90,Y,70.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
49,13,Centralised Procedure Eligibility Request,Labeling,130,60,75,90,Y,70.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
50,13,Centralised Procedure Eligibility Request,Regulatory CMC,130,60,75,90,Y,70.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
51,13,Centralised Procedure Eligibility Request,Regulatory Operations,130,60,75,90,Y,70.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
52,13,Centralised Procedure Eligibility Request,Regulatory Strategist (Global/EU),130,60,75,90,Y,75.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
53,14,Letter of Intent sent to EMA,Global Regulatory Lead,210,30,50,70,Y,30,Formal notification to the EMA of the company’s intention to submit a Marketing Authorisation Application (MAA) via the Centralised Procedure. This letter is typically sent around 7 months before the planned submission to allow EMA to plan resources and appoint rapporteurs.,0
54,14,Letter of Intent sent to EMA,Regulatory Operations,210,30,50,70,Y,30,Formal notification to the EMA of the company’s intention to submit a Marketing Authorisation Application (MAA) via the Centralised Procedure. This letter is typically sent around 7 months before the planned submission to allow EMA to plan resources and appoint rapporteurs.,0
55,14,Letter of Intent sent to EMA,Regulatory Strategist (Global/EU),210,30,50,70,Y,35,Formal notification to the EMA of the company’s intention to submit a Marketing Authorisation Application (MAA) via the Centralised Procedure. This letter is typically sent around 7 months before the planned submission to allow EMA to plan resources and appoint rapporteurs.,0
56,15,Preparation of the pre-submission meeting with Rapporteurs,Global Regulatory Lead,180,70,80,90,Y,75.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
57,15,Preparation of the pre-submission meeting with Rapporteurs,Labeling,180,70,80,90,Y,70.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
58,15,Preparation of the pre-submission meeting with Rapporteurs,Other function,180,70,80,90,Y,70.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
59,15,Preparation of the pre-submission meeting with Rapporteurs,Regulatory CMC,180,70,80,90,Y,70.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
60,15,Preparation of the pre-submission meeting with Rapporteurs,Regulatory Operations,180,70,80,90,Y,70.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
61,15,Preparation of the pre-submission meeting with Rapporteurs,Regulatory Strategist (Global/EU),180,70,80,90,Y,80.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
62,16,Pre-submission meeting with Rapporteurs Request,Global Regulatory Lead,185,2,2,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
63,16,Pre-submission meeting with Rapporteurs Request,Labeling,185,2,2,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
64,16,Pre-submission meeting with Rapporteurs Request,Regulatory CMC,185,2,2,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
65,16,Pre-submission meeting with Rapporteurs Request,Regulatory Operations,185,2,2,2,Y,1.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
66,16,Pre-submission meeting with Rapporteurs Request,Regulatory Strategist (Global/EU),185,2,2,2,Y,5.0,Formal request to EMA for a pre-submission meeting with the appointed Rapporteurs usually submitted around 6 months before the planned MAA submission. This request initiates the scheduling of the meeting to discuss dossier content regulatory expectations and any product-specific requirements.,0
