Step_No,Document,Prep_Days,Finish_Days_Before_J0,Predecessor,Concurrency_Group,Department,Role,Role_Description,Allocated_FTE,Allocated_FTE_Days
1,General Kick-off meeting,1,365,,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.6,0.6
1,General Kick-off meeting,1,365,,1,Regulatory Affairs,Global Regulatory Lead,"Manages PIP, orphan drug status, PRIME, and compliance checks",0.3,0.3
1,General Kick-off meeting,1,365,,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,0.2
2,Content Plan (documents list) prepared,14,300,1.0,2,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,2.8
2,Content Plan (documents list) prepared,14,300,1.0,2,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,2.8
3,Target Product Profile finalized,60,360,1.0,3,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,12.0
3,Target Product Profile finalized,60,360,1.0,3,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,12.0
4,Centralised Procedure Eligibility Request,60,240,,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,12.0
4,Centralised Procedure Eligibility Request,60,240,,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,12.0
5,Letter of Intent sent to EMA,14,210,4.0,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,2.8
5,Letter of Intent sent to EMA,14,210,4.0,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,2.8
6,Pre-submission meeting with Rapporteurs,30,180,5.0,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.6,18.0
6,Pre-submission meeting with Rapporteurs,30,180,5.0,1,Regulatory Affairs,Global Regulatory Lead,"Manages PIP, orphan drug status, PRIME, and compliance checks",0.3,9.0
6,Pre-submission meeting with Rapporteurs,30,180,5.0,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,6.0
7,EMA pre-submission meeting,30,150,5.0,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.6,18.0
7,EMA pre-submission meeting,30,150,5.0,1,Regulatory Affairs,Global Regulatory Lead,"Manages PIP, orphan drug status, PRIME, and compliance checks",0.3,9.0
7,EMA pre-submission meeting,30,150,5.0,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,6.0
8,Paediatric Investigation Plan (PIP) agreed,270,60,,1,Regulatory Affairs,Global Regulatory Lead,"Manages PIP, orphan drug status, PRIME, and compliance checks",0.4,108.0
8,Paediatric Investigation Plan (PIP) agreed,270,60,,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.4,108.0
8,Paediatric Investigation Plan (PIP) agreed,270,60,,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,54.0
9,Orphan Drug Designation granted,120,90,,1,Regulatory Affairs,Global Regulatory Lead,"Manages PIP, orphan drug status, PRIME, and compliance checks",0.3,36.0
9,Orphan Drug Designation granted,120,90,,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.3,36.0
9,Orphan Drug Designation granted,120,90,,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,24.0
10,Invented name approval (EMA NRG),120,90,,1,Regulatory Affairs,Labeling,"Manages SmPC, PIL, labeling, QRD coordination, and linguistic reviews",0.3,36.0
10,Invented name approval (EMA NRG),120,90,,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,24.0
10,Invented name approval (EMA NRG),120,90,,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,24.0
11,IDMP data readiness achieved,120,0,,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,24.0
11,IDMP data readiness achieved,120,0,,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,24.0
12,ATC code request submitted,180,0,,1,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,36.0
12,ATC code request submitted,180,0,,1,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,36.0
13,Final nonclinical pharmacology study report,1,180,,2,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,0.2
14,Final toxicokinetic/pharmacokinetic study report,1,180,,2,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,0.2
14,Final toxicokinetic/pharmacokinetic study report,1,180,,2,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,0.2
15,Final toxicology study report,1,180,,2,Regulatory Affairs,Regulatory Strategist (Global/EU),"Defines submission strategy, timelines, and interactions with EMA/CHMP",0.2,0.2
15,Final toxicology study report,1,180,,2,Regulatory Affairs,Regulatory Operations,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management",0.2,0.2
