Task_ID,Step_No,Task,Role,Predecessors,O_Days,M_Days,P_Days,Use_PERT,Effort_Days,Notes
1,1,General Kick-off meeting,Regulatory Strategist (Global/EU),,1,1,1,Y,0.6,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
2,1,General Kick-off meeting,Global Regulatory Lead,,1,1,1,Y,0.3,"Manages PIP, orphan drug status, PRIME, and compliance checks"
3,1,General Kick-off meeting,Regulatory Operations,,1,1,1,Y,0.2,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
4,2,Content Plan (documents list) prepared,Regulatory Strategist (Global/EU),1FS+0d,10,14,20,Y,2.8,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
5,2,Content Plan (documents list) prepared,Regulatory Operations,1FS+0d,10,14,20,Y,2.8,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
6,3,Target Product Profile finalized,Regulatory Strategist (Global/EU),1FS+0d,42,60,84,Y,12.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
7,3,Target Product Profile finalized,Regulatory Operations,1FS+0d,42,60,84,Y,12.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
8,4,Centralised Procedure Eligibility Request,Regulatory Strategist (Global/EU),,42,60,84,Y,12.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
9,4,Centralised Procedure Eligibility Request,Regulatory Operations,,42,60,84,Y,12.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
10,5,Letter of Intent sent to EMA,Regulatory Strategist (Global/EU),4FS+0d,10,14,20,Y,2.8,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
11,5,Letter of Intent sent to EMA,Regulatory Operations,4FS+0d,10,14,20,Y,2.8,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
12,6,Pre-submission meeting with Rapporteurs,Regulatory Strategist (Global/EU),5FS+0d,21,30,42,Y,18.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
13,6,Pre-submission meeting with Rapporteurs,Global Regulatory Lead,5FS+0d,21,30,42,Y,9.0,"Manages PIP, orphan drug status, PRIME, and compliance checks"
14,6,Pre-submission meeting with Rapporteurs,Regulatory Operations,5FS+0d,21,30,42,Y,6.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
15,7,EMA pre-submission meeting,Regulatory Strategist (Global/EU),5FS+0d,21,30,42,Y,18.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
16,7,EMA pre-submission meeting,Global Regulatory Lead,5FS+0d,21,30,42,Y,9.0,"Manages PIP, orphan drug status, PRIME, and compliance checks"
17,7,EMA pre-submission meeting,Regulatory Operations,5FS+0d,21,30,42,Y,6.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
18,8,Paediatric Investigation Plan (PIP) agreed,Global Regulatory Lead,,189,270,378,Y,108.0,"Manages PIP, orphan drug status, PRIME, and compliance checks"
19,8,Paediatric Investigation Plan (PIP) agreed,Regulatory Strategist (Global/EU),,189,270,378,Y,108.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
20,8,Paediatric Investigation Plan (PIP) agreed,Regulatory Operations,,189,270,378,Y,54.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
21,9,Orphan Drug Designation granted,Global Regulatory Lead,,84,120,168,Y,36.0,"Manages PIP, orphan drug status, PRIME, and compliance checks"
22,9,Orphan Drug Designation granted,Regulatory Strategist (Global/EU),,84,120,168,Y,36.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
23,9,Orphan Drug Designation granted,Regulatory Operations,,84,120,168,Y,24.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
24,10,Invented name approval (EMA NRG),Labeling,,84,120,168,Y,36.0,"Manages SmPC, PIL, labeling, QRD coordination, and linguistic reviews"
25,10,Invented name approval (EMA NRG),Regulatory Strategist (Global/EU),,84,120,168,Y,24.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
26,10,Invented name approval (EMA NRG),Regulatory Operations,,84,120,168,Y,24.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
27,11,IDMP data readiness achieved,Regulatory Strategist (Global/EU),,84,120,168,Y,24.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
28,11,IDMP data readiness achieved,Regulatory Operations,,84,120,168,Y,24.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
29,12,ATC code request submitted,Regulatory Strategist (Global/EU),,126,180,252,Y,36.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
30,12,ATC code request submitted,Regulatory Operations,,126,180,252,Y,36.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
31,13,Final nonclinical pharmacology study report,Regulatory Strategist (Global/EU),,1,1,1,Y,0.2,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
32,14,Final toxicokinetic/pharmacokinetic study report,Regulatory Strategist (Global/EU),,1,1,1,Y,0.2,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
33,14,Final toxicokinetic/pharmacokinetic study report,Regulatory Operations,,1,1,1,Y,0.2,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
34,15,Final toxicology study report,Regulatory Strategist (Global/EU),,1,1,1,Y,0.2,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
35,15,Final toxicology study report,Regulatory Operations,,1,1,1,Y,0.2,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
36,16,Final clinical study report (last pivotal study),Regulatory Strategist (Global/EU),,1,1,1,Y,0.2,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
37,17,Population PK analysis report,Regulatory Strategist (Global/EU),16FS+0d,42,60,84,Y,12.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
38,17,Population PK analysis report,Regulatory Operations,16FS+0d,42,60,84,Y,12.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
39,18,Integrated Summary of Safety (ISS),Regulatory Strategist (Global/EU),16FS+0d,42,60,84,Y,12.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
40,18,Integrated Summary of Safety (ISS),Regulatory Operations,16FS+0d,42,60,84,Y,12.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
41,19,Integrated Summary of Efficacy (ISE),Regulatory Strategist (Global/EU),16FS+0d,42,60,84,Y,12.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
42,19,Integrated Summary of Efficacy (ISE),Regulatory Operations,16FS+0d,42,60,84,Y,12.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
43,20,Integrated Summary of Immunogenicity,Regulatory Strategist (Global/EU),16FS+0d,21,30,42,Y,6.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
44,20,Integrated Summary of Immunogenicity,Regulatory Operations,16FS+0d,21,30,42,Y,6.0,"Compiles eCTD, performs technical validation, manages gateway submissions, and lifecycle management"
45,21,Summary of Biopharmaceutic Studies (Module 2.7.1),Regulatory Strategist (Global/EU),,10,15,21,Y,3.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
46,22,Summary of Clinical Pharmacology (Module 2.7.2),Regulatory Strategist (Global/EU),,21,30,42,Y,6.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
47,23,Summary of Clinical Efficacy (Module 2.7.3),Regulatory Strategist (Global/EU),16FS+0d,31,45,63,Y,9.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
48,24,Summary of Clinical Safety (Module 2.7.4),Regulatory Strategist (Global/EU),16FS+0d,31,45,63,Y,9.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
49,25,Clinical Overview (Module 2.5),Regulatory Strategist (Global/EU),18FS+0d;19FS+0d;16FS+0d;3FS+0d,21,30,42,Y,6.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
50,26,Clinical literature references compiled (Module 2.7.5),Labeling,25FS+0d,4,5,7,Y,3.0,"Manages SmPC, PIL, labeling, QRD coordination, and linguistic reviews"
51,26,Clinical literature references compiled (Module 2.7.5),Regulatory Strategist (Global/EU),25FS+0d,4,5,7,Y,1.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
52,27,Clinical study synopses finalized (Module 2.7.6),Regulatory Strategist (Global/EU),16FS+0d,7,10,14,Y,2.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
53,28,Nonclinical Introduction (Module 2.6.1),Regulatory Strategist (Global/EU),,1,2,3,Y,0.4,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
54,29,Nonclinical Written Summary – Pharmacology (Module 2.6.2),Regulatory Strategist (Global/EU),13FS+0d,10,15,21,Y,3.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
55,30,Nonclinical Tabulated Summary – Pharmacology (Module 2.6.3),Regulatory Strategist (Global/EU),13FS+0d,7,10,14,Y,2.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
56,31,Nonclinical Written Summary – Pharmacokinetics (Module 2.6.4),Regulatory Strategist (Global/EU),14FS+0d,10,15,21,Y,3.0,"Defines submission strategy, timelines, and interactions with EMA/CHMP"
