Task_ID,Step_No,Task,Role,dispatch_date,O_Days,M_Days,P_Days,Use_PERT,Effort_Days,Notes,milestones
1,1,Management Decision ,Global Regulatory Lead,700,1,1,1,Y,0.3,Decision by senior management to proceed with the MAA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
2,1,Management Decision ,Management,700,1,1,1,Y,0.3,Decision by senior management to proceed with the MAA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
3,1,Management Decision ,Other function,700,1,1,1,Y,0.3,Decision by senior management to proceed with the MAA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
4,1,Management Decision ,Regulatory CMC,700,1,1,1,Y,0.3,Decision by senior management to proceed with the MAA preparation typically following positive Phase II results and regulatory interactions . This step confirms company commitment about 24 months before planned submission.,1
5,2,Paediatric Investigation Plan (PIP),Regulatory Operations,700,225,225,225,Y,70.0,Agreement of the Paediatric Investigation Plan (PIP) with the EMA a mandatory step to define the development strategy for paediatric use. Typically initiated early.,1
5,2,Paediatric Investigation Plan (PIP) agreed,EMA,475,1,1,1,Y,1.0,Agreement of the Paediatric Investigation Plan (PIP) with the EMA a mandatory step to define the development strategy for paediatric use. Typically initiated early.,1
6,3,General Kick-off meeting,Global Regulatory Lead,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
7,3,General Kick-off meeting,Labeling,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
8,3,General Kick-off meeting,Other function,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
9,3,General Kick-off meeting,Regulatory CMC,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
10,3,General Kick-off meeting,Regulatory Operations,600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
11,3,General Kick-off meeting,Regulatory Strategist (Global/EU),600,1,1,1,Y,0.3,Initial cross-functional meeting led by the Global Regulatory Lead to align all stakeholders on the MAA strategytimelines and deliverables. Usually held around 18 months before the planned submission to ensure coordinated planning across teams.,1
12,4,Content Plan (documents list) prepared,Global Regulatory Lead,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
13,4,Content Plan (documents list) prepared,Labeling,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
14,4,Content Plan (documents list) prepared,Other function,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
15,4,Content Plan (documents list) prepared,Regulatory CMC,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
16,4,Content Plan (documents list) prepared,Regulatory Operations,180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
17,4,Content Plan (documents list) prepared,Regulatory Strategist (Global/EU),180,159,159,159,Y,2.8,Preparation of the detailed content plan listing all required CTD modules and documents aligned with the agreed regulatory strategy. This task ensures clarity on responsibilities timelines and EMA/CHMP interactions. Initiated at least 6 months before submission and maintained until finalization typically completed about 3 weeks before the MAA dispatch date.,0
18,5,Scientific advice / end of phase 2 meeting,Global Regulatory Lead,550,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
19,5,Scientific advice / end of phase 2 meeting,Labeling,550,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
20,5,Scientific advice / end of phase 2 meeting,Other function,550,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
21,5,Scientific advice / end of phase 2 meeting,Regulatory CMC,550,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
22,5,Scientific advice / end of phase 2 meeting,Regulatory Operations,550,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
23,5,Scientific advice / end of phase 2 meeting,Regulatory Strategist (Global/EU),550,1,1,1,Y,0.2,Formal scientific advice meeting with EMA/CHMP at the end of Phase II to discuss clinical development regulatory expectations and submission strategy. Typically held 12–24 months before the planned MAA submission with ~18 months being the standard reference point.,1
,,Module 1,Global Regulatory Lead,400,350,350,350,Y,15.8,,0
,,Module 1,Labeling,400,350,350,350,Y,24.0,,0
,,Module 1,Other function,700,350,350,350,Y,24.3,,0
,,Module 1,Regulatory CMC,185,1,1,2,Y,1.0,,0
,,Module 1,Regulatory Operations,185,1,1,2,Y,1.0,,0
,,Module 1,Regulatory Strategist (Global/EU),185,1,1,2,Y,1.0,,0
,,Module 2 CMC,Other function,450,288,288,288,Y,0.8,,0
,,Module 2 CMC,Regulatory Operations,450,288,288,288,Y,12.0,,0
,,Module 3,Global Regulatory Lead,700,150,170,210,Y,38.0,,0
,,Module 3,Labeling,700,150,170,210,Y,39.0,,0
,,Module 3,Other function,700,150,170,210,Y,39.0,,0
,,Module 3,Regulatory CMC,700,150,170,210,Y,37.0,,0
,,Module 3,Regulatory Operations,700,150,170,210,Y,99.0,,0
,,Module 3,Regulatory Strategist (Global/EU),700,150,170,210,Y,39.0,,0
,,Module 4,Labeling,185,1,1,2,Y,1.0,,0
,,Module 4,Regulatory Operations,180,159,159,159,Y,2.8,,0
,,Module 5,Global Regulatory Lead,550,1,1,1,Y,0.2,,0
,,Module 5,Labeling,550,180,180,180,Y,0.2,,0
,,Module 5,Other function,550,180,180,180,Y,0.2,,0
,,Module 5,Regulatory CMC,550,180,180,180,Y,0.2,,0
,,Module 5,Regulatory Operations,550,180,180,180,Y,0.2,,0
,,Module 5,Regulatory Strategist (Global/EU),550,180,180,180,Y,3.0,,0
24,6,Target Product Profile (TPP),Global Regulatory Lead,700,695,695,695,Y,12.0,Finalization of the Target Product Profile (TPP) a key strategic document that defines the intended indications clinical claims safety profile and regulatory positioning of the product. Developed cross-functionally and used as a decision-making reference. For EMA submissions it should be finalized between 12 and 6 months before submission with drafting initiated earlier and alignment reinforced around the end-of-Phase II meeting (~18 months before submission).,0
25,7,Centralised Procedure Eligibility Request,Global Regulatory Lead,130,60,75,90,Y,75.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
26,7,Centralised Procedure Eligibility Request,Labeling,130,60,75,90,Y,75.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
27,7,Centralised Procedure Eligibility Request,Regulatory CMC,130,60,75,90,Y,75.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
28,7,Centralised Procedure Eligibility Request,Regulatory Operations,130,60,75,90,Y,75.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
29,7,Centralised Procedure Eligibility Request,Regulatory Strategist (Global/EU),130,60,75,90,Y,75.0,Submission of the eligibility request to EMA to confirm acceptance of the Centralised Procedure. This step ensures regulatory alignment on the chosen submission route and must be completed between 18 and 7 months before the planned MAA submission depending on project organization and availability of Phase II/III clinical data.,0
30,8,Letter of Intent sent to EMA,Global Regulatory Lead,210,30,50,70,Y,30,Formal notification to the EMA of the company’s intention to submit a Marketing Authorisation Application (MAA) via the Centralised Procedure. This letter is typically sent around 7 months before the planned submission to allow EMA to plan resources and appoint rapporteurs.,1
31,8,Letter of Intent sent to EMA,Regulatory Operations,210,30,50,70,Y,30,Formal notification to the EMA of the company’s intention to submit a Marketing Authorisation Application (MAA) via the Centralised Procedure. This letter is typically sent around 7 months before the planned submission to allow EMA to plan resources and appoint rapporteurs.,1
32,8,Letter of Intent sent to EMA,Regulatory Strategist (Global/EU),210,30,50,70,Y,30,Formal notification to the EMA of the company’s intention to submit a Marketing Authorisation Application (MAA) via the Centralised Procedure. This letter is typically sent around 7 months before the planned submission to allow EMA to plan resources and appoint rapporteurs.,1
33,9,Preparation of the pre-submission meeting with Rapporteurs,Global Regulatory Lead,180,70,80,90,Y,80.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
34,9,Preparation of the pre-submission meeting with Rapporteurs,Labeling,180,70,80,90,Y,80.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
35,9,Preparation of the pre-submission meeting with Rapporteurs,Other function,180,70,80,90,Y,80.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
36,9,Preparation of the pre-submission meeting with Rapporteurs,Regulatory CMC,180,70,80,90,Y,80.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
37,9,Preparation of the pre-submission meeting with Rapporteurs,Regulatory Operations,180,70,80,90,Y,80.0,Preparation for the pre-submission meeting with EMA Rapporteurs typically held about 3 months after the eligibility request and ~3 months before submission. This meeting aims to discuss the MAA content address specific regulatory requirements and review key documents such as the draft SmPC to ensure alignment before dossier submission.,0
