Role,Document,Effort_Days,FTE_per_task,Available_FTE,FTE_remaining,Rate_per_FTE_Day,Estimated_Cost
Regulatory Strategist (Global/EU),General Kick-off meeting,0.6,0.002727272727272727,,,,
Global Regulatory Lead,General Kick-off meeting,0.3,0.0013636363636363635,,,,
Regulatory Operations,General Kick-off meeting,0.2,0.0009090909090909091,,,,
Regulatory Strategist (Global/EU),Content Plan (documents list) prepared,2.8,0.012727272727272726,,,,
Regulatory Operations,Content Plan (documents list) prepared,2.8,0.012727272727272726,,,,
Regulatory Strategist (Global/EU),Target Product Profile finalized,12.0,0.05454545454545454,,,,
Regulatory Operations,Target Product Profile finalized,12.0,0.05454545454545454,,,,
Regulatory Strategist (Global/EU),Centralised Procedure Eligibility Request,12.0,0.05454545454545454,,,,
Regulatory Operations,Centralised Procedure Eligibility Request,12.0,0.05454545454545454,,,,
Regulatory Strategist (Global/EU),Letter of Intent sent to EMA,2.8,0.012727272727272726,,,,
Regulatory Operations,Letter of Intent sent to EMA,2.8,0.012727272727272726,,,,
Regulatory Strategist (Global/EU),Pre-submission meeting with Rapporteurs,18.0,0.08181818181818182,,,,
Global Regulatory Lead,Pre-submission meeting with Rapporteurs,9.0,0.04090909090909091,,,,
Regulatory Operations,Pre-submission meeting with Rapporteurs,6.0,0.02727272727272727,,,,
Regulatory Strategist (Global/EU),EMA pre-submission meeting,18.0,0.08181818181818182,,,,
Global Regulatory Lead,EMA pre-submission meeting,9.0,0.04090909090909091,,,,
Regulatory Operations,EMA pre-submission meeting,6.0,0.02727272727272727,,,,
Global Regulatory Lead,Paediatric Investigation Plan (PIP) agreed,108.0,0.4909090909090909,,,,
Regulatory Strategist (Global/EU),Paediatric Investigation Plan (PIP) agreed,108.0,0.4909090909090909,,,,
Regulatory Operations,Paediatric Investigation Plan (PIP) agreed,54.0,0.24545454545454545,,,,
Global Regulatory Lead,Orphan Drug Designation granted,36.0,0.16363636363636364,,,,
Regulatory Strategist (Global/EU),Orphan Drug Designation granted,36.0,0.16363636363636364,,,,
Regulatory Operations,Orphan Drug Designation granted,24.0,0.10909090909090909,,,,
Labeling,Invented name approval (EMA NRG),36.0,0.16363636363636364,0.0,0.0,0.0,0.0
Regulatory Strategist (Global/EU),Invented name approval (EMA NRG),24.0,0.10909090909090909,,,,
Regulatory Operations,Invented name approval (EMA NRG),24.0,0.10909090909090909,,,,
Regulatory Strategist (Global/EU),IDMP data readiness achieved,24.0,0.10909090909090909,,,,
Regulatory Operations,IDMP data readiness achieved,24.0,0.10909090909090909,,,,
Regulatory Strategist (Global/EU),ATC code request submitted,36.0,0.16363636363636364,,,,
Regulatory Operations,ATC code request submitted,36.0,0.16363636363636364,,,,
Regulatory Strategist (Global/EU),Final nonclinical pharmacology study report,0.2,0.0009090909090909091,,,,
Regulatory Strategist (Global/EU),Final toxicokinetic/pharmacokinetic study report,0.2,0.0009090909090909091,,,,
Regulatory Operations,Final toxicokinetic/pharmacokinetic study report,0.2,0.0009090909090909091,,,,
Regulatory Strategist (Global/EU),Final toxicology study report,0.2,0.0009090909090909091,,,,
Regulatory Operations,Final toxicology study report,0.2,0.0009090909090909091,,,,
Regulatory Strategist (Global/EU),Final clinical study report (last pivotal study),0.2,0.0009090909090909091,,,,
Regulatory Strategist (Global/EU),Population PK analysis report,12.0,0.05454545454545454,,,,
Regulatory Operations,Population PK analysis report,12.0,0.05454545454545454,,,,
Regulatory Strategist (Global/EU),Integrated Summary of Safety (ISS),12.0,0.05454545454545454,,,,
Regulatory Operations,Integrated Summary of Safety (ISS),12.0,0.05454545454545454,,,,
Regulatory Strategist (Global/EU),Integrated Summary of Efficacy (ISE),12.0,0.05454545454545454,,,,
Regulatory Operations,Integrated Summary of Efficacy (ISE),12.0,0.05454545454545454,,,,
Regulatory Strategist (Global/EU),Integrated Summary of Immunogenicity,6.0,0.02727272727272727,,,,
Regulatory Operations,Integrated Summary of Immunogenicity,6.0,0.02727272727272727,,,,
Regulatory Strategist (Global/EU),Summary of Biopharmaceutic Studies (Module 2.7.1),3.0,0.013636363636363636,,,,
Regulatory Strategist (Global/EU),Summary of Clinical Pharmacology (Module 2.7.2),6.0,0.02727272727272727,,,,
Regulatory Strategist (Global/EU),Summary of Clinical Efficacy (Module 2.7.3),9.0,0.04090909090909091,,,,
Regulatory Strategist (Global/EU),Summary of Clinical Safety (Module 2.7.4),9.0,0.04090909090909091,,,,
Regulatory Strategist (Global/EU),Clinical Overview (Module 2.5),6.0,0.02727272727272727,,,,
Labeling,Clinical literature references compiled (Module 2.7.5),3.0,0.013636363636363636,0.0,0.0,0.0,0.0
Regulatory Strategist (Global/EU),Clinical literature references compiled (Module 2.7.5),1.0,0.004545454545454545,,,,
Regulatory Strategist (Global/EU),Clinical study synopses finalized (Module 2.7.6),2.0,0.00909090909090909,,,,
Regulatory Strategist (Global/EU),Nonclinical Introduction (Module 2.6.1),0.4,0.0018181818181818182,,,,
Regulatory Strategist (Global/EU),Nonclinical Written Summary – Pharmacology (Module 2.6.2),3.0,0.013636363636363636,,,,
Regulatory Strategist (Global/EU),Nonclinical Tabulated Summary – Pharmacology (Module 2.6.3),2.0,0.00909090909090909,,,,
Regulatory Strategist (Global/EU),Nonclinical Written Summary – Pharmacokinetics (Module 2.6.4),3.0,0.013636363636363636,,,,
