Task_ID,Step_No,Task,Role,dispatch_date,milestones
1,1,Management Decision,Management,700
2,2,Paediatric Investigation Plan (PIP) agreed,Global Regulatory Lead,700
3,3,General Kick-off meeting,Global Regulatory Lead,600
4,4,Content Plan (documents list) prepared,Regulatory Strategist (Global/EU),180
5,5,Scientific advice / end of phase 2 meeting,Global Regulatory Lead,550
6,6,Target Product Profile finalized (TPP),Global Regulatory Lead,400
7,7,Centralised Procedure Eligibility Request,Regulatory Strategist (Global/EU),130
8,8,Letter of Intent sent to EMA,Regulatory Strategist (Global/EU),210
9,9,Preparation of the pre-submission meeting with Rapporteurs,Regulatory Strategist (Global/EU),180
10,10,Pre-submission meeting with Rapporteurs Request,Regulatory Strategist (Global/EU),185
11,11,EMA pre-submission meeting,Regulatory Strategist (Global/EU),90
12,12,Orphan Drug Designation granted,Global Regulatory Lead,700
13,13,Invented name approval (EMA NRG),Regulatory Operations,300
14,14,IDMP data readiness assessment done,Regulatory Operations,180
15,15,ATC code request submitted,Regulatory Operations,300
16,16,Final nonclinical pharmacology study report,Regulatory Strategist (Global/EU),450
17,17,Final toxicokinetic/pharmacokinetic study report,Regulatory Operations,450
18,18,Final toxicology study report,Regulatory Operations,450
19,19,Final clinical study report (last pivotal study),Regulatory Strategist (Global/EU),450
20,20,Population PK analysis report,Regulatory Operations,450
21,21,Integrated Summary of Safety (ISS),Regulatory Operations,400
22,22,Integrated Summary of Efficacy (ISE),Regulatory Operations,400
23,23,Integrated Summary of Immunogenicity,Regulatory Operations,400
24,24,Summary of Biopharmaceutic Studies (Module 2.7.1),Regulatory Strategist (Global/EU),400
25,25,Summary of Clinical Pharmacology (Module 2.7.2),Regulatory Strategist (Global/EU),400
26,26,Summary of Clinical Efficacy (Module 2.7.3),Regulatory Strategist (Global/EU),400
27,27,Summary of Clinical Safety (Module 2.7.4),Regulatory Strategist (Global/EU),400
28,28,Clinical Overview (Module 2.5),Regulatory Strategist (Global/EU),400
29,29,Clinical literature references compiled (Module 2.7.5),Labeling,400
30,30,Clinical literature references compiled (Module 2.7.5),Regulatory Strategist (Global/EU),400
31,31,Clinical study synopses finalized (Module 2.7.6),Regulatory Strategist (Global/EU),400
32,32,Nonclinical Introduction (Module 2.6.1),Regulatory Strategist (Global/EU),400
33,33,Nonclinical Written Summary – Pharmacology (Module 2.6.2),Regulatory Strategist (Global/EU),400
34,34,Nonclinical Tabulated Summary – Pharmacology (Module 2.6.3),Regulatory Strategist (Global/EU),400
35,35,Nonclinical Written Summary – Pharmacokinetics (Module 2.6.4),Regulatory Strategist (Global/EU),400
36,36,Nonclinical Tabulated Summary – Pharmacokinetics (Module 2.6.5),Regulatory Strategist (Global/EU),400
