task_ID;task;modules;
1;Management Decision;Other;
2;Paediatric Investigation Plan (PIP);Other;
3;Paediatric Investigation Plan (PIP) agreed;Module 1;faut décaler les tasks
3;General Kick-off meeting;Other;
4;Content Plan (documents list) prepared;Other;
5;Scientific advice / end of phase 2 meeting;Other;
6;Target Product Profile finalized (TPP);Other;
7;Centralised Procedure Eligibility Request;Other;
8;Letter of Intent sent to EMA;Other;
9;Preparation of the pre-submission meeting with Rapporteurs;Other;
10;Pre-submission meeting with Rapporteurs Request;Other;
11;EMA pre-submission meeting;Other;
12;Orphan Drug Designation granted;Other;C'est une tache
12;Orphan Drug Designation granted;Module 1;c'est une milestone
13;Invented name approval (EMA NRG);Other;
14;IDMP data readiness ;Other;
15;ATC code request ;Other;
16;Final nonclinical pharmacology study report;Module 4;
17;Final toxicokinetic/pharmacokinetic study report;Module 5;
18;Final toxicology study report;Module 5;
19;Final clinical study report (last pivotal study);Module 5;
20;Final Population PK analysis report;Module 5;
21;Integrated Summary of Safety (ISS);Module 5;
22;Integrated Summary of Efficacy (ISE);Module 5;
23;Integrated Summary of Immunogenicity;Module 5;
24;Summary of Biopharmaceutic Studies (Module 2.7.1);Module 2 Clinique;
25;Summary of Clinical Pharmacology (Module 2.7.2);Module 2 clinique;
26;Summary of Clinical Efficacy (Module 2.7.3);Module 2 clinique;
27;Summary of Clinical Safety (Module 2.7.4);Module 2 clinique;
28;Clinical Overview (Module 2.5);Module 2 clinique;
29;Clinical literature references compiled (Module 2.7.5);;c'est un duplicat de la ligne 30 to be deleted
30;Clinical literature references (Module 2.7.5);Module 2 clinique;
31;Clinical study synopses (Module 2.7.6);Module 2 clinique;
32;Nonclinical Introduction (Module 2.6.1);Module 2 non clinique;
33;Nonclinical Written Summary Ã¢â‚¬â€œ Pharmacology (Module 2.6.2);Module 2 non clinique;
34;Nonclinical Tabulated Summary Ã¢â‚¬â€œ Pharmacology (Module 2.6.3);Module 2 non clinique;
35;Nonclinical Written Summary Ã¢â‚¬â€œ Pharmacokinetics (Module 2.6.4);Module 2 non clinique;
36;Nonclinical Tabulated Summary Ã¢â‚¬â€œ Pharmacokinetics (Module 2.6.5);Module 2 non clinique;
37;Nonclinical Written Summary Ã¢â‚¬â€œ Toxicology (Module 2.6.6);Module 2 non clinique;
38;Nonclinical Tabulated Summary Ã¢â‚¬â€œ Toxicology (Module 2.6.7);Module 2 non clinique;
39;Nonclinical Overview (Module 2.4);Module 2 non clinique;
40;Nonclinical literature references (Module 4.3);Module 4;
41;GMP Clearance (for manufacturing sites);Module 1;
42;GMP Certificates (from manufacturing sites);Module 1;
43;Manufacturing Authorisations;Module 1;
44;Manufacturing Process Flow Chart;Module 1;
45;3.2.S.1 Drug Substance: General Information section;Module 3;
46;3.2.S.2 Drug Substance: Manufacture section;Module 3;
47;3.2.S.3 Drug Substance: Characterisation section;Module 3;
48;3.2.S.4 Drug Substance: Control of Drug Substance section;Module 3;
49;3.2.S.5 Drug Substance: Reference Standards section;Module 3;
50;3.2.S.6 Drug Substance: Container Closure System section;Module 3;
51;3.2.S.7 Drug Substance: Stability section;Module 3;
52;3.2.P.1 Drug Product: Description and Composition section;Module 3;
53;3.2.P.2 Drug Product: Pharmaceutical Development section;Module 3;
54;3.2.P.3 Drug Product: Manufacture section;Module 3;
55;3.2.P.4 Drug Product: Control of Excipients section;Module 3;
56;3.2.P.5 Drug Product: Control of Drug Product section;Module 3;
57;3.2.P.6 Drug Product: Reference Standards section;Module 3;
58;3.2.P.7 Drug Product: Container Closure System section;Module 3;
59;3.2.P.8 Drug Product: Stability section;Module 3;
60;3.2.A.1 Appendices: Facilities and Equipment;Module 3;
61;3.2.A.2 Appendices: Adventitious Agents Safety;Module 3;
62;3.2.R Regional Information section completed;Module 3;
63;Quality Overall Summary Ã¢â‚¬â€œ Introduction (Module 2.3.1);Module 2 CMC;
64;Quality Overall Summary Ã¢â‚¬â€œ Drug Substance (Module 2.3.S);Module 2 CMC;
65;Quality Overall Summary Ã¢â‚¬â€œ Drug Product (Module 2.3.P);Module 2 CMC;
66;Quality Overall Summary Ã¢â‚¬â€œ Appendices (Module 2.3.A);Module 2 CMC;
67;Quality Overall Summary Ã¢â‚¬â€œ Regional Information (Module 2.3.R);Module 2 CMC;
68;Company Core Data Sheet (CCDS);Other;
69;Risk Management Plan (RMP);Module 1;
70;EU SmPC (Product Information) ;Module 1;
71;Messaging alignment meeting 1;Other;
72;Messaging alignment meeting 2;Other;
73;Application Form (eAF) ;Module 1;
74;Cover Letter for MAA submission;Module 1;
75;Product Artwork and Mock-ups ;Module 1;
76;Compilation of eCTD dossier;Other;
77;Final internal review and sign-off;Other;
78;Validation of dispatch of MAA to EMA;Other;
79;Dispatch of MAA to EMA;Other;
80;EMA confirmation of submission receipt;Other;
